lang,noise,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,threshold,rate,numberofsentences,conservativerate,timestamp,duration
611,0,0.0,0.0,0.0,3.0279556969340483e-09,3.4362856551232143e-06,9.886632111990446e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9930513914059528,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.220595,0:00:11.631372
611,0,0.0,0.0,0.0,2.6336028606356924e-09,3.253975589481352e-06,1.0295363840516682e-08,0.999999999999889,1.0,0.0,0.0,0.0,0.9973839729132696,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.274623,0:00:11.675261
611,0,0.0,0.0,0.0,2.8444566755168767e-09,3.4208532601921037e-06,9.362102800340639e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9933541684152724,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.556681,0:00:11.519156
611,0,0.0,0.0,0.0,2.9828641201474267e-09,3.696584897332356e-06,8.663775018371892e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.999479995602327,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.631298,0:00:11.498397
611,0,0.0,0.0,0.0,2.9620517959312395e-09,3.439724519711796e-06,8.328144345039744e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9985477691566836,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.644543,0:00:11.527063
611,0,0.0,0.0,0.0,2.7728223405990827e-09,3.891996527058068e-06,9.130894571301068e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9980392746109422,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.658900,0:00:11.572094
611,0,0.0,0.0,0.0,2.7219841205220303e-09,3.6161281834613626e-06,8.56897216235427e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9995706504690789,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.659938,0:00:11.526136
611,0,0.0,0.0,0.0,2.4444843148186685e-09,3.253975589481352e-06,7.921876895390328e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9988539980073879,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.670290,0:00:11.546735
611,0,0.0,0.0,0.0,2.5227310485682306e-09,3.218369150182051e-06,9.287486186738387e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9834813654571659,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.671820,0:00:11.546697
611,0,0.0,0.0,0.0,2.518948843728323e-09,3.4225645424633355e-06,7.866603619871684e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9989767181829236,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.677359,0:00:11.552164
611,0,0.0,0.0,0.0,2.959090484648257e-09,3.696584897332356e-06,9.135462302452295e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9963492454371499,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.679381,0:00:11.522624
611,0,0.0,0.0,0.0,2.7206231284617693e-09,3.1467467119329344e-06,7.622607717372765e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9982452894783322,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.679441,0:00:11.546771
611,0,0.0,0.0,0.0,2.802097721345203e-09,3.427703527405261e-06,8.81235569853618e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.993258092669708,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.686521,0:00:11.575413
611,0,0.0,0.0,0.0,2.739739097567166e-09,3.542734066290609e-06,9.442039911401271e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9958723573130208,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.686424,0:00:11.559560
611,0,0.0,0.0,0.0,2.30785796556706e-09,3.0875082613645192e-06,9.12176595945341e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9948026811604929,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.691717,0:00:11.549690
611,0,0.0,0.0,0.0,2.8615790121409865e-09,3.500464812182097e-06,9.812741333783784e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9984284049729905,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.697841,0:00:11.544057
611,0,0.0,0.0,0.0,2.817555593775567e-09,3.4934691315049375e-06,9.035498035665907e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9988370281679048,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.698663,0:00:11.555250
611,0,0.0,0.0,0.0,2.8658756766073748e-09,3.252348601686611e-06,8.466733593214773e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9893965063371596,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.703645,0:00:11.594534
